cell_type_clean,signature,contrast,contrast_site,reference_site,original_delta_mean,z_score_delta,rank_percentile_delta,original_padj_bh,z_score_sign_agrees,rank_percentile_sign_agrees
Epithelial cells,HYPOXIA,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,0.5302920409090909,2.08270607351918,0.6041666666666665,0.0006518109181585,True,True
Myeloid cells,MACROPHAGE_LIKE,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,1.0911667154545452,1.7809728911232492,0.4956112852664576,0.0006518109181585,True,True
Myeloid cells,MYELOID_INFLAMMATION,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,0.7511867803636364,1.6712256726400536,0.36598746081504696,0.0006518109181585,True,True
Myeloid cells,MYELOID_INFLAMMATION,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,1.1430997449090907,2.5431459791605873,0.6371473354231975,0.0006518109181585,True,True
T lymphocytes,CYTOTOXICITY,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,0.6388919629636364,1.7108909268396224,0.5449843260188088,0.0009165032166635,True,True
Epithelial cells,PROLIFERATION,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,0.2422977990909091,1.431253670356345,0.48106060606060597,0.0010651982017578,True,True
T lymphocytes,T_CELL_EXHAUSTION,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,0.10059588139999998,1.0612931209855176,0.4739811912225704,0.0011291901473608,True,True
Epithelial cells,HYPOXIA,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,0.23051161636363637,0.9053274542726375,0.2803030303030303,0.001728873377132,True,True
Myeloid cells,MYELOID_INFLAMMATION,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,1.025984104,2.2825893894130704,0.6534482758620689,0.001728873377132,True,True
T lymphocytes,CYTOTOXICITY,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,0.40844431205454546,1.0937743908560433,0.3521943573667713,0.001728873377132,True,True
Epithelial cells,HYPOXIA,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,0.30781138295454546,1.2089199673424322,0.36316287878787884,0.0025641025641025,True,True
Epithelial cells,PROLIFERATION,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,0.3047453534090909,1.8001315209105737,0.48863636363636365,0.0025641025641025,True,True
Myeloid cells,MACROPHAGE_LIKE,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,0.5473795763636363,0.8934181851872798,0.23072100313479624,0.0035376913942245,True,True
T lymphocytes,T_CELL_EXHAUSTION,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,0.1193056086727273,1.258681966072575,0.42852664576802507,0.0041470079018156,True,True
Epithelial cells,EMT_INVASION,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,0.13739489181818185,0.9771192416440857,0.22348484848484845,0.0923594743353199,True,True
Epithelial cells,EMT_INVASION,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,0.21892204377272725,1.5569206289958515,0.3442234848484849,0.1365384615384615,True,True
Epithelial cells,PROLIFERATION,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,0.05102759127272728,0.30142010192644164,0.14204545454545453,0.3083401110229782,True,True
T lymphocytes,CYTOTOXICITY,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,0.17404297459999993,0.46607026443415545,0.1431034482758621,0.3083401110229782,True,True
Myeloid cells,MACROPHAGE_LIKE,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,0.11861031600000005,0.19359255960769084,0.04827586206896553,0.5675377254324622,True,True
Epithelial cells,EMT_INVASION,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,0.04034890954545453,0.28695168629990553,0.018939393939394034,0.792812616632073,True,True
T lymphocytes,T_CELL_EXHAUSTION,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,-0.015751261400000008,-0.16617683684478068,-0.08620689655172417,0.792812616632073,True,True
