cell_type_clean,signature,n_sample_profiles,pearson_mean_vs_z,spearman_mean_vs_rank
B lymphocytes,CYTOTOXICITY,58,1.0,1.0
B lymphocytes,EMT_INVASION,58,0.9999999999999996,1.0
B lymphocytes,HYPOXIA,58,0.9999999999999998,1.0
B lymphocytes,MACROPHAGE_LIKE,58,1.0,1.0
B lymphocytes,MYELOID_INFLAMMATION,58,1.0,1.0
B lymphocytes,PROLIFERATION,58,1.0,1.0
B lymphocytes,T_CELL_EXHAUSTION,58,0.9999999999999996,0.9999999999999998
Endothelial cells,CYTOTOXICITY,22,0.9999999999999996,1.0
Endothelial cells,EMT_INVASION,22,0.9999999999999998,1.0
Endothelial cells,HYPOXIA,22,1.0,1.0
Endothelial cells,MACROPHAGE_LIKE,22,1.0,1.0
Endothelial cells,MYELOID_INFLAMMATION,22,1.0,1.0
Endothelial cells,PROLIFERATION,22,1.0,1.0
Endothelial cells,T_CELL_EXHAUSTION,22,1.0,1.0
Epithelial cells,CYTOTOXICITY,48,0.9999999999999998,1.0
Epithelial cells,EMT_INVASION,48,0.9999999999999998,1.0
Epithelial cells,HYPOXIA,48,1.0,1.0
Epithelial cells,MACROPHAGE_LIKE,48,0.9999999999999998,1.0
Epithelial cells,MYELOID_INFLAMMATION,48,1.0,1.0
Epithelial cells,PROLIFERATION,48,1.0,1.0
Epithelial cells,T_CELL_EXHAUSTION,48,1.0,1.0
Fibroblasts,CYTOTOXICITY,40,1.0,0.9999999999999999
Fibroblasts,EMT_INVASION,40,1.0,1.0
Fibroblasts,HYPOXIA,40,1.0,1.0
Fibroblasts,MACROPHAGE_LIKE,40,1.0,1.0
Fibroblasts,MYELOID_INFLAMMATION,40,0.9999999999999998,1.0
Fibroblasts,PROLIFERATION,40,1.0,0.9999999999999999
Fibroblasts,T_CELL_EXHAUSTION,40,1.0,1.0
MAST cells,CYTOTOXICITY,30,0.9999999999999998,1.0
MAST cells,EMT_INVASION,30,0.9999999999999998,1.0
MAST cells,HYPOXIA,30,0.9999999999999998,1.0
MAST cells,MACROPHAGE_LIKE,30,1.0,1.0
MAST cells,MYELOID_INFLAMMATION,30,0.9999999999999998,0.9999999999999998
MAST cells,PROLIFERATION,30,1.0,1.0
MAST cells,T_CELL_EXHAUSTION,30,1.0,1.0
Myeloid cells,CYTOTOXICITY,58,1.0,1.0
Myeloid cells,EMT_INVASION,58,1.0,1.0
Myeloid cells,HYPOXIA,58,1.0,1.0
Myeloid cells,MACROPHAGE_LIKE,58,1.0,1.0
Myeloid cells,MYELOID_INFLAMMATION,58,1.0,1.0
Myeloid cells,PROLIFERATION,58,0.9999999999999998,1.0
Myeloid cells,T_CELL_EXHAUSTION,58,0.9999999999999996,1.0
NK cells,CYTOTOXICITY,48,0.9999999999999998,1.0
NK cells,EMT_INVASION,48,1.0,1.0
NK cells,HYPOXIA,48,0.9999999999999998,1.0
NK cells,MACROPHAGE_LIKE,48,1.0,1.0
NK cells,MYELOID_INFLAMMATION,48,1.0,1.0
NK cells,PROLIFERATION,48,1.0,1.0
NK cells,T_CELL_EXHAUSTION,48,1.0,1.0
Oligodendrocytes,CYTOTOXICITY,8,1.0,1.0
Oligodendrocytes,EMT_INVASION,8,1.0,1.0
Oligodendrocytes,HYPOXIA,8,1.0,1.0
Oligodendrocytes,MACROPHAGE_LIKE,8,1.0,1.0
Oligodendrocytes,MYELOID_INFLAMMATION,8,1.0,1.0
Oligodendrocytes,PROLIFERATION,8,1.0,1.0
Oligodendrocytes,T_CELL_EXHAUSTION,8,1.0,0.9999999999999998
T lymphocytes,CYTOTOXICITY,58,0.9999999999999998,1.0
T lymphocytes,EMT_INVASION,58,1.0,1.0
T lymphocytes,HYPOXIA,58,1.0,1.0
T lymphocytes,MACROPHAGE_LIKE,58,1.0,1.0
T lymphocytes,MYELOID_INFLAMMATION,58,1.0,1.0
T lymphocytes,PROLIFERATION,58,1.0,1.0
T lymphocytes,T_CELL_EXHAUSTION,58,1.0,1.0
Undetermined,CYTOTOXICITY,25,1.0,1.0
Undetermined,EMT_INVASION,25,1.0,0.9999999999999999
Undetermined,HYPOXIA,25,0.9999999999999998,0.9999999999999999
Undetermined,MACROPHAGE_LIKE,25,1.0,1.0
Undetermined,MYELOID_INFLAMMATION,25,0.9999999999999996,1.0
Undetermined,PROLIFERATION,25,1.0,1.0
Undetermined,T_CELL_EXHAUSTION,25,0.9999999999999996,1.0
