tissue_site,cell_type_clean,n_cells,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
advanced_airway_tumor,B lymphocytes,593.7272727272727,0.011129196,0.06009098,0.10938019,0.09388885,0.19454314,0.24510469,0.13194142
advanced_airway_tumor,Epithelial cells,875.9090909090909,0.011026252,0.06576266,0.3923419,0.19303618,0.28889522,0.98556095,0.35990527
advanced_airway_tumor,Fibroblasts,18.5,0.0070648505,0.07262378,0.22061172,0.14319906,0.8977094,0.55013263,0.1352928
advanced_airway_tumor,Myeloid cells,615.5454545454545,0.09095619,0.08565844,1.4863719,1.1486025,0.62097806,0.70028377,0.2137246
advanced_airway_tumor,NK cells,142.45454545454547,0.1606744,2.9280076,0.13969567,0.13032223,0.32575926,0.38950244,0.15210576
advanced_airway_tumor,T lymphocytes,801.2727272727273,0.23745485,0.86541057,0.1223448,0.097087264,0.34294534,0.4546651,0.22952873
advanced_airway_tumor,Undetermined,8.6,0.016089248,0.043675438,0.18675034,0.08881231,0.12771404,0.15819769,0.031792685
non_smoker_lung,B lymphocytes,131.1,0.012859243,0.028906593,0.15006506,0.19279012,0.17842138,0.26746035,0.101561055
non_smoker_lung,Epithelial cells,1546.3,0.006329695,0.030314978,0.41026068,0.20449007,0.2340744,0.9504941,0.22194657
non_smoker_lung,Fibroblasts,63.6,0.0055199764,0.04705008,0.15974063,0.3231105,1.0086546,0.61108243,0.15855277
non_smoker_lung,MAST cells,63.5,0.048190057,0.06541901,0.21862473,0.21931577,0.5909596,0.25793457,0.2074821
non_smoker_lung,Myeloid cells,565.7,0.0853204,0.03950534,1.1909258,1.8479229,0.54161936,0.6127487,0.19970919
non_smoker_lung,NK cells,85.9,0.16974652,2.1451476,0.15275182,0.1453887,0.29931727,0.47588977,0.27481246
non_smoker_lung,Oligodendrocytes,89.5,0.007908852,0.037683286,0.18134809,0.38831207,0.29615307,0.51622146,0.5365289
non_smoker_lung,T lymphocytes,391.0,0.21154885,0.62074256,0.15961197,0.16814083,0.32514423,0.44350624,0.2546776
normal_lung,B lymphocytes,57.63636363636363,0.021957818,0.261752,0.09562214,0.26333675,0.3091895,0.22501196,0.12915526
normal_lung,Endothelial cells,121.9090909090909,0.008587032,0.12030622,0.1320716,0.30486885,0.59385467,0.30915272,0.20310031
normal_lung,Epithelial cells,336.6363636363636,0.02797787,0.11197365,0.22972406,0.33957162,0.15150033,0.4552689,0.117607474
normal_lung,Fibroblasts,151.8181818181818,0.017998999,0.124829985,0.11131728,0.34438545,0.84093165,0.42177686,0.13750245
normal_lung,MAST cells,98.0909090909091,0.044305388,0.08719676,0.10180778,0.26170146,0.65466356,0.23606445,0.2870401
normal_lung,Myeloid cells,1515.6363636363637,0.072537445,0.11192778,1.1875587,1.9018539,0.6751194,0.44902194,0.19020987
normal_lung,NK cells,620.3636363636364,0.19530682,2.8064718,0.111931205,0.25289527,0.33919036,0.3425498,0.16979326
normal_lung,T lymphocytes,1006.5454545454545,0.1417517,1.0774422,0.10963895,0.25497392,0.4216655,0.3747407,0.1806841
normal_lymph_node,B lymphocytes,1058.4,0.017130466,0.02320915,0.013740189,0.033394966,0.15524776,0.16991545,0.116379164
normal_lymph_node,Myeloid cells,128.8,0.051129527,0.026099404,0.34327212,0.6012229,0.5041577,0.3863228,0.14446905
normal_lymph_node,T lymphocytes,2531.9,0.11814922,0.22651859,0.01654214,0.02944442,0.22485232,0.26149735,0.1576504
normal_lymph_node,Undetermined,25.5,0.018003862,0.5916261,0.0049445024,0.029831076,0.4125514,0.25918317,0.2528861
pleural_effusion,B lymphocytes,657.0,0.0060148165,0.048840716,0.08530702,0.028165966,0.18771155,0.2609969,0.16970858
pleural_effusion,Epithelial cells,79.2,0.0088577885,0.06518889,0.18157068,0.10887699,0.3076911,0.8381243,0.41139656
pleural_effusion,Myeloid cells,612.6,0.06569968,0.0660796,1.3692563,0.71983325,0.52656996,0.67159295,0.14667854
pleural_effusion,NK cells,259.4,0.14849219,1.8647058,0.0913652,0.03093718,0.29969126,0.4048168,0.22937182
pleural_effusion,T lymphocytes,2394.8,0.10239796,0.4005615,0.09004482,0.031800866,0.3123873,0.43899077,0.2222385
pleural_effusion,Undetermined,57.8,0.012674088,0.7399953,0.09541403,0.03738579,0.40498096,0.3440114,0.26519126
primary_tumor,B lymphocytes,482.90909090909093,0.017581176,0.037435077,0.062186014,0.13664277,0.22216678,0.19363403,0.09407632
primary_tumor,Endothelial cells,59.54545454545455,0.010797509,0.03157973,0.090681344,0.16954118,0.6945374,0.4482017,0.22878736
primary_tumor,Epithelial cells,660.9090909090909,0.02231511,0.043301824,0.2933418,0.18532278,0.19184923,0.6857805,0.16863507
primary_tumor,Fibroblasts,156.1818181818182,0.010597237,0.023697348,0.07898143,0.3090974,1.0329951,0.5548634,0.14178315
primary_tumor,MAST cells,164.45454545454547,0.06312113,0.03076809,0.06831472,0.24632214,0.63625443,0.36444014,0.26878342
primary_tumor,Myeloid cells,799.4545454545455,0.08931916,0.055726793,1.0944588,1.6923896,0.6501934,0.58108735,0.19742201
primary_tumor,NK cells,91.27272727272727,0.20226058,2.703876,0.10340967,0.13944252,0.35351536,0.41367224,0.16973235
primary_tumor,T lymphocytes,1689.7272727272727,0.2187451,0.63496286,0.07775004,0.1414791,0.40201285,0.44816196,0.19851579
