cell_type_clean,signature,contrast,contrast_site,reference_site,n_contrast_samples,n_reference_samples,mean_contrast,mean_reference,delta_mean,cohens_d,mannwhitney_u,pvalue,padj_bh
Epithelial cells,HYPOXIA,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,11,11,0.9855609354545454,0.4552688945454545,0.5302920409090909,3.8074786399587297,121.0,8.151536127743242e-05,0.0006518109181585759
Myeloid cells,MACROPHAGE_LIKE,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,11,10,1.692389645454545,0.6012229299999999,1.0911667154545452,4.13326306572017,110.0,0.0001241544606016335,0.0006518109181585759
Myeloid cells,MYELOID_INFLAMMATION,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,11,10,1.0944588963636364,0.34327211599999996,0.7511867803636364,5.41858390994082,110.0,0.0001241544606016335,0.0006518109181585759
Myeloid cells,MYELOID_INFLAMMATION,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,11,10,1.4863718609090908,0.34327211599999996,1.1430997449090907,3.4013170593188384,110.0,0.0001241544606016335,0.0006518109181585759
T lymphocytes,CYTOTOXICITY,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,11,10,0.8654105363636364,0.2265185734,0.6388919629636364,2.795791287577387,108.0,0.0002182150515865711,0.0009165032166635987
Epithelial cells,PROLIFERATION,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,11,11,0.35990527818181817,0.11760747909090909,0.2422977990909091,1.9312187170124788,116.0,0.0003043423433593813,0.0010651982017578347
T lymphocytes,T_CELL_EXHAUSTION,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,11,10,0.21874511,0.11814922860000002,0.10059588139999998,2.446460258953191,106.0,0.0003763967157869386,0.0011291901473608158
Myeloid cells,MYELOID_INFLAMMATION,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,5,10,1.36925622,0.34327211599999996,1.025984104,6.615625374518149,50.0,0.000666000666000666,0.00172887337713201
Epithelial cells,HYPOXIA,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,11,11,0.6857805109090909,0.4552688945454545,0.23051161636363637,1.6501813592006942,112.0,0.0008112851998172991,0.00172887337713201
T lymphocytes,CYTOTOXICITY,primary_tumor_vs_normal_lymph_node,primary_tumor,normal_lymph_node,11,10,0.6349628854545455,0.2265185734,0.40844431205454546,2.0062976743928407,103.0,0.0008232730367295285,0.00172887337713201
Epithelial cells,HYPOXIA,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,4,11,0.7630802775,0.4552688945454545,0.30781138295454546,4.189165655613877,44.0,0.0014652014652014652,0.002564102564102564
Epithelial cells,PROLIFERATION,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,4,11,0.4223528325,0.11760747909090909,0.3047453534090909,2.176327093962027,44.0,0.0014652014652014652,0.002564102564102564
Myeloid cells,MACROPHAGE_LIKE,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,11,10,1.1486025063636363,0.6012229299999999,0.5473795763636363,1.7747000766642576,99.0,0.0021899994345199467,0.0035376913942245292
T lymphocytes,T_CELL_EXHAUSTION,advanced_airway_tumor_vs_normal_lymph_node,advanced_airway_tumor,normal_lymph_node,11,10,0.23745483727272731,0.11814922860000002,0.1193056086727273,1.4230722234543842,98.0,0.002764671934543766,0.004147007901815649
Epithelial cells,EMT_INVASION,advanced_airway_tumor_vs_normal_lung,advanced_airway_tumor,normal_lung,11,11,0.2888952245454546,0.15150033272727273,0.13739489181818185,1.0415671206043153,89.0,0.06597105309665711,0.09235947433531996
Epithelial cells,EMT_INVASION,pleural_effusion_vs_normal_lung,pleural_effusion,normal_lung,4,11,0.3704223765,0.15150033272727273,0.21892204377272725,2.2392339882688135,35.0,0.10402930402930403,0.13653846153846155
T lymphocytes,CYTOTOXICITY,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,5,10,0.40056154799999993,0.2265185734,0.17404297459999993,1.136040088751132,35.0,0.2544122544122544,0.30834011102297826
Epithelial cells,PROLIFERATION,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,11,11,0.16863507036363637,0.11760747909090909,0.05102759127272728,0.7600700947124466,78.0,0.26429152373398135,0.30834011102297826
Myeloid cells,MACROPHAGE_LIKE,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,5,10,0.719833246,0.6012229299999999,0.11861031600000005,0.44764211855494557,31.0,0.5134865134865134,0.5675377254324622
T lymphocytes,T_CELL_EXHAUSTION,pleural_effusion_vs_normal_lymph_node,pleural_effusion,normal_lymph_node,5,10,0.10239796720000001,0.11814922860000002,-0.015751261400000008,-0.44502840870030463,22.0,0.7678987678987679,0.792812616632073
Epithelial cells,EMT_INVASION,primary_tumor_vs_normal_lung,primary_tumor,normal_lung,11,11,0.19184924227272726,0.15150033272727273,0.04034890954545453,0.4288072635827889,56.0,0.792812616632073,0.792812616632073
